ID,Theme,English Message,Armenian Message
183,Self-Acceptance,Take a moment: Celebrate the person you are becoming every single day.,"Մի պահ տրամադրիր. Տոնիր այն մարդուն, ում վերածվում ես ամեն օր:"
184,Self-Acceptance,"Take a moment: You are worthy of love, especially from yourself.","Մի պահ տրամադրիր. Դու արժանի ես սիրո, հատկապես ինքդ քո կողմից:"
185,Self-Acceptance,Take a moment: Let go of the need to be perfect.,Մի պահ տրամադրիր. Բաց թող կատարյալ լինելու կարիքը:
186,Self-Acceptance,"Take a moment: You belong right here, exactly where you are.","Մի պահ տրամադրիր. Քո տեղը հենց այստեղ է, ճիշտ այնտեղ, որտեղ կաս:"
187,Self-Acceptance,Take a moment: You don't need to earn your worth; you are inherently valuable.,"Մի պահ տրամադրիր. Քեզ պետք չէ վաստակել քո արժեքը, դու ի ծնե արժեքավոր ես:"
188,Self-Acceptance,Take a moment: Speak to yourself like someone you deeply love.,"Մի պահ տրամադրիր. Խոսիր քեզ հետ այնպես, ինչպես կխոսեիր մեկի հետ, ում խորապես սիրում ես:"
189,Mental Health,"Take a moment: Breathe in peace, breathe out any lingering stress.","Մի պահ տրամադրիր. Ներշնչիր խաղաղություն, արտաշնչիր կուտակված սթրեսը:"
190,Mental Health,Take a moment: It is completely okay to feel overwhelmed sometimes.,Մի պահ տրամադրիր. Լիովին նորմալ է երբեմն ծանրաբեռնված զգալը:
191,Mental Health,Take a moment: Be very gentle with your mind today.,Մի պահ տրամադրիր. Այսօր շատ մեղմ եղիր քո մտքերի հետ:
192,Mental Health,"Take a moment: Your feelings are valid, whatever they may be.","Մի պահ տրամադրիր. Քո զգացմունքները կարևոր են, անկախ նրանից, թե ինչպիսին են դրանք:"
193,Mental Health,Take a moment: You don't have to have everything figured out right now.,"Մի պահ տրամադրիր. Պարտադիր չէ, որ հիմա ամեն ինչ պարզած լինես:"
194,Mental Health,Take a moment: Protect your peace; it's okay to say no.,"Մի պահ տրամադրիր. Պաշտպանիր քո խաղաղությունը, նորմալ է «ոչ» ասելը:"
195,Mental Health,"Take a moment: Healing takes time, and you are doing your best.","Մի պահ տրամադրիր. Ապաքինումը ժամանակ է պահանջում, և դու անում ես առավելագույնը:"
196,Mental Health,"Take a moment: Take things one day, or even one hour, at a time.","Մի պահ տրամադրիր. Ամեն ինչ արա օր առ օր, կամ նույնիսկ ժամ առ ժամ:"
197,Mental Health,Take a moment: You are safe right here in this moment.,Մի պահ տրամադրիր. Այս պահին դու ապահով ես հենց այստեղ:
198,Mental Health,Take a moment: Let your thoughts pass like clouds in the sky.,Մի պահ տրամադրիր. Թող մտքերդ անցնեն երկնքի ամպերի պես:
199,Mental Health,"Take a moment: It takes courage to keep going, and I am proud of you.","Մի պահ տրամադրիր. Շարունակելու համար քաջություն է պետք, և ես հպարտանում եմ քեզանով:"
200,Mental Health,Take a moment: Release the tension you are carrying in your body.,"Մի պահ տրամադրիր. Ազատիր այն լարվածությունը, որը կրում ես մարմնումդ:"
201,Motivation & Focus,"Dear you, You are capable of wonderful things.","Սիրելիս, Դու ունակ ես հրաշալի բաների:"
202,Motivation & Focus,"Dear you, Take it one small step at a time.","Սիրելիս, Առաջ գնա փոքրիկ քայլերով:"
203,Motivation & Focus,"Dear you, Focus on your progress, not perfection.","Սիրելիս, Կենտրոնացիր քո առաջընթացի, այլ ոչ թե կատարելության վրա:"
204,Motivation & Focus,"Dear you, You have the strength to overcome this challenge.","Սիրելիս, Դու ուժ ունես հաղթահարելու այս մարտահրավերը:"
205,Motivation & Focus,"Dear you, Your efforts are building a beautiful future.","Սիրելիս, Քո ջանքերը կերտում են գեղեցիկ ապագա:"
206,Motivation & Focus,"Dear you, Trust your pace. You are not falling behind.","Սիրելիս, Վստահիր քո տեմպին: Դու հետ չես մնում:"
207,Motivation & Focus,"Dear you, Every tiny bit of effort counts.","Սիրելիս, Ամեն մի փոքրիկ ջանք հաշվի է առնվում:"
208,Motivation & Focus,"Dear you, Give yourself credit for trying your best today.","Սիրելիս, Գնահատիր ինքդ քեզ այսօր լավագույնս փորձելու համար:"
209,Motivation & Focus,"Dear you, It is okay to pause, as long as you don't give up.","Սիրելիս, Նորմալ է դադար առնել, քանի դեռ չես հանձնվում:"
210,Motivation & Focus,"Dear you, You bring a unique light to everything you do.","Սիրելիս, Դու յուրահատուկ լույս ես բերում այն ամենին, ինչ անում ես:"
211,Motivation & Focus,"Dear you, Your potential is endless.","Սիրելիս, Քո ներուժն անսահման է:"
212,Motivation & Focus,"Dear you, Keep going, your future self will thank you.","Սիրելիս, Շարունակիր, քո ապագա եսը շնորհակալություն կհայտնի քեզ:"
213,Motivation & Focus,"Dear you, You are planting seeds for tomorrow's success.","Սիրելիս, Դու սերմեր ես ցանում վաղվա հաջողության համար:"
214,Self-Care,"Dear you, Allow yourself a moment to rest and reset.","Սիրելիս, Թույլ տուր քեզ մի պահ հանգստանալ և վերականգնվել:"
215,Self-Care,"Dear you, Drinking a little water right now could feel really refreshing.","Սիրելիս, Հիմա մի փոքր ջուր խմելը կարող է շատ թարմացնող լինել:"
216,Self-Care,"Dear you, Stretch softly, listen to what your body needs.","Սիրելիս, Մեղմորեն ձգվիր, լսիր, թե ինչ է պետք քո մարմնին:"
217,Self-Care,"Dear you, Resting is just as productive as working.","Սիրելիս, Հանգստանալը նույնքան արդյունավետ է, որքան աշխատելը:"
218,Self-Care,"Dear you, Make sure you nourish your body with something tasty today.","Սիրելիս, Համոզվիր, որ այսօր սնուցում ես մարմինդ որևէ համեղ բանով:"
219,Self-Care,"Dear you, Stepping away from the screen for a minute can work wonders.","Սիրելիս, Էկրանից մեկ րոպեով կտրվելը կարող է հրաշքներ գործել:"
220,Self-Care,"Dear you, Your well-being is your most important project.","Սիրելիս, Քո բարեկեցությունը քո ամենակարևոր նախագիծն է:"
221,Self-Care,"Dear you, Let your shoulders drop and find a comfortable position.","Սիրելիս, Թուլացրու ուսերդ և գտիր հարմար դիրք:"
222,Self-Care,"Dear you, Treat yourself with the same kindness you offer friends.","Սիրելիս, Վերաբերվիր քեզ նույն բարությամբ, որը տալիս ես ընկերներիդ:"
223,Self-Care,"Dear you, A warm cup of tea or coffee is waiting to comfort you.","Սիրելիս, Մի գավաթ տաք թեյը կամ սուրճը սպասում է քեզ հանգստացնելու:"
224,Self-Care,"Dear you, Give your eyes a gentle break and look at something green.","Սիրելիս, Աչքերիդ մեղմ հանգիստ տուր և նայիր ինչ-որ կանաչ բանի:"
225,Self-Care,"Dear you, Do one small thing that makes you smile right now.","Սիրելիս, Արա մի փոքրիկ բան, որն այս պահին կստիպի քեզ ժպտալ:"
226,Self-Care,"Dear you, Self-care isn't selfish, it's essential.","Սիրելիս, Ինքնախնամքը եսասիրություն չէ, այն անհրաժեշտություն է:"
227,Self-Acceptance,"Dear you, You are entirely enough, exactly as you are.","Սիրելիս, Դու լիովին բավարար ես այնպես, ինչպես կաս:"
228,Self-Acceptance,"Dear you, Embrace your unique journey, there is no one else like you.","Սիրելիս, Ընդունիր քո յուրահատուկ ուղին, ոչ ոք քեզ նման չէ:"
229,Self-Acceptance,"Dear you, Your worth is not measured by your productivity.","Սիրելիս, Քո արժեքը չի չափվում քո արտադրողականությամբ:"
230,Self-Acceptance,"Dear you, It is wonderful to just be yourself.","Սիրելիս, Հրաշալի է պարզապես լինել ինքդ քեզ պես:"
231,Self-Acceptance,"Dear you, Forgive yourself for the mistakes; they help you grow.","Սիրելիս, Ներիր քեզ սխալների համար, դրանք օգնում են քեզ աճել:"
232,Self-Acceptance,"Dear you, Your imperfections make you beautifully human.","Սիրելիս, Քո թերությունները քեզ դարձնում են գեղեցիկ մարդկային:"
233,Self-Acceptance,"Dear you, Celebrate the person you are becoming every single day.","Սիրելիս, Տոնիր այն մարդուն, ում վերածվում ես ամեն օր:"
234,Self-Acceptance,"Dear you, You are worthy of love, especially from yourself.","Սիրելիս, Դու արժանի ես սիրո, հատկապես ինքդ քո կողմից:"
235,Self-Acceptance,"Dear you, Let go of the need to be perfect.","Սիրելիս, Բաց թող կատարյալ լինելու կարիքը:"
236,Self-Acceptance,"Dear you, You belong right here, exactly where you are.","Սիրելիս, Քո տեղը հենց այստեղ է, ճիշտ այնտեղ, որտեղ կաս:"
237,Self-Acceptance,"Dear you, You don't need to earn your worth; you are inherently valuable.","Սիրելիս, Քեզ պետք չէ վաստակել քո արժեքը, դու ի ծնե արժեքավոր ես:"
238,Self-Acceptance,"Dear you, Speak to yourself like someone you deeply love.","Սիրելիս, Խոսիր քեզ հետ այնպես, ինչպես կխոսեիր մեկի հետ, ում խորապես սիրում ես:"
239,Mental Health,"Dear you, Breathe in peace, breathe out any lingering stress.","Սիրելիս, Ներշնչիր խաղաղություն, արտաշնչիր կուտակված սթրեսը:"
240,Mental Health,"Dear you, It is completely okay to feel overwhelmed sometimes.","Սիրելիս, Լիովին նորմալ է երբեմն ծանրաբեռնված զգալը:"
241,Mental Health,"Dear you, Be very gentle with your mind today.","Սիրելիս, Այսօր շատ մեղմ եղիր քո մտքերի հետ:"
242,Mental Health,"Dear you, Your feelings are valid, whatever they may be.","Սիրելիս, Քո զգացմունքները կարևոր են, անկախ նրանից, թե ինչպիսին են դրանք:"
243,Mental Health,"Dear you, You don't have to have everything figured out right now.","Սիրելիս, Պարտադիր չէ, որ հիմա ամեն ինչ պարզած լինես:"
244,Mental Health,"Dear you, Protect your peace; it's okay to say no.","Սիրելիս, Պաշտպանիր քո խաղաղությունը, նորմալ է «ոչ» ասելը:"
245,Mental Health,"Dear you, Healing takes time, and you are doing your best.","Սիրելիս, Ապաքինումը ժամանակ է պահանջում, և դու անում ես առավելագույնը:"
246,Mental Health,"Dear you, Take things one day, or even one hour, at a time.","Սիրելիս, Ամեն ինչ արա օր առ օր, կամ նույնիսկ ժամ առ ժամ:"
247,Mental Health,"Dear you, You are safe right here in this moment.","Սիրելիս, Այս պահին դու ապահով ես հենց այստեղ:"
248,Mental Health,"Dear you, Let your thoughts pass like clouds in the sky.","Սիրելիս, Թող մտքերդ անցնեն երկնքի ամպերի պես:"
249,Mental Health,"Dear you, It takes courage to keep going, and I am proud of you.","Սիրելիս, Շարունակելու համար քաջություն է պետք, և ես հպարտանում եմ քեզանով:"
250,Mental Health,"Dear you, Release the tension you are carrying in your body.","Սիրելիս, Ազատիր այն լարվածությունը, որը կրում ես մարմնումդ:"
251,Motivation & Focus,"Whenever you are ready, You are capable of wonderful things.",Երբ պատրաստ լինես՝ Դու ունակ ես հրաշալի բաների:
252,Motivation & Focus,"Whenever you are ready, Take it one small step at a time.",Երբ պատրաստ լինես՝ Առաջ գնա փոքրիկ քայլերով:
253,Motivation & Focus,"Whenever you are ready, Focus on your progress, not perfection.","Երբ պատրաստ լինես՝ Կենտրոնացիր քո առաջընթացի, այլ ոչ թե կատարելության վրա:"
254,Motivation & Focus,"Whenever you are ready, You have the strength to overcome this challenge.",Երբ պատրաստ լինես՝ Դու ուժ ունես հաղթահարելու այս մարտահրավերը:
255,Motivation & Focus,"Whenever you are ready, Your efforts are building a beautiful future.",Երբ պատրաստ լինես՝ Քո ջանքերը կերտում են գեղեցիկ ապագա:
256,Motivation & Focus,"Whenever you are ready, Trust your pace. You are not falling behind.",Երբ պատրաստ լինես՝ Վստահիր քո տեմպին: Դու հետ չես մնում:
257,Motivation & Focus,"Whenever you are ready, Every tiny bit of effort counts.",Երբ պատրաստ լինես՝ Ամեն մի փոքրիկ ջանք հաշվի է առնվում:
258,Motivation & Focus,"Whenever you are ready, Give yourself credit for trying your best today.",Երբ պատրաստ լինես՝ Գնահատիր ինքդ քեզ այսօր լավագույնս փորձելու համար:
259,Motivation & Focus,"Whenever you are ready, It is okay to pause, as long as you don't give up.","Երբ պատրաստ լինես՝ Նորմալ է դադար առնել, քանի դեռ չես հանձնվում:"
260,Motivation & Focus,"Whenever you are ready, You bring a unique light to everything you do.","Երբ պատրաստ լինես՝ Դու յուրահատուկ լույս ես բերում այն ամենին, ինչ անում ես:"
261,Motivation & Focus,"Whenever you are ready, Your potential is endless.",Երբ պատրաստ լինես՝ Քո ներուժն անսահման է:
262,Motivation & Focus,"Whenever you are ready, Keep going, your future self will thank you.","Երբ պատրաստ լինես՝ Շարունակիր, քո ապագա եսը շնորհակալություն կհայտնի քեզ:"
263,Motivation & Focus,"Whenever you are ready, You are planting seeds for tomorrow's success.",Երբ պատրաստ լինես՝ Դու սերմեր ես ցանում վաղվա հաջողության համար:
264,Self-Care,"Whenever you are ready, Allow yourself a moment to rest and reset.",Երբ պատրաստ լինես՝ Թույլ տուր քեզ մի պահ հանգստանալ և վերականգնվել:
265,Self-Care,"Whenever you are ready, Drinking a little water right now could feel really refreshing.",Երբ պատրաստ լինես՝ Հիմա մի փոքր ջուր խմելը կարող է շատ թարմացնող լինել:
266,Self-Care,"Whenever you are ready, Stretch softly, listen to what your body needs.","Երբ պատրաստ լինես՝ Մեղմորեն ձգվիր, լսիր, թե ինչ է պետք քո մարմնին:"
267,Self-Care,"Whenever you are ready, Resting is just as productive as working.","Երբ պատրաստ լինես՝ Հանգստանալը նույնքան արդյունավետ է, որքան աշխատելը:"
268,Self-Care,"Whenever you are ready, Make sure you nourish your body with something tasty today.","Երբ պատրաստ լինես՝ Համոզվիր, որ այսօր սնուցում ես մարմինդ որևէ համեղ բանով:"
269,Self-Care,"Whenever you are ready, Stepping away from the screen for a minute can work wonders.",Երբ պատրաստ լինես՝ Էկրանից մեկ րոպեով կտրվելը կարող է հրաշքներ գործել:
270,Self-Care,"Whenever you are ready, Your well-being is your most important project.",Երբ պատրաստ լինես՝ Քո բարեկեցությունը քո ամենակարևոր նախագիծն է:
271,Self-Care,"Whenever you are ready, Let your shoulders drop and find a comfortable position.",Երբ պատրաստ լինես՝ Թուլացրու ուսերդ և գտիր հարմար դիրք:
272,Self-Care,"Whenever you are ready, Treat yourself with the same kindness you offer friends.","Երբ պատրաստ լինես՝ Վերաբերվիր քեզ նույն բարությամբ, որը տալիս ես ընկերներիդ:"
273,Self-Care,"Whenever you are ready, A warm cup of tea or coffee is waiting to comfort you.",Երբ պատրաստ լինես՝ Մի գավաթ տաք թեյը կամ սուրճը սպասում է քեզ հանգստացնելու:
274,Self-Care,"Whenever you are ready, Give your eyes a gentle break and look at something green.",Երբ պատրաստ լինես՝ Աչքերիդ մեղմ հանգիստ տուր և նայիր ինչ-որ կանաչ բանի:
275,Self-Care,"Whenever you are ready, Do one small thing that makes you smile right now.","Երբ պատրաստ լինես՝ Արա մի փոքրիկ բան, որն այս պահին կստիպի քեզ ժպտալ:"
276,Self-Care,"Whenever you are ready, Self-care isn't selfish, it's essential.","Երբ պատրաստ լինես՝ Ինքնախնամքը եսասիրություն չէ, այն անհրաժեշտություն է:"
277,Self-Acceptance,"Whenever you are ready, You are entirely enough, exactly as you are.","Երբ պատրաստ լինես՝ Դու լիովին բավարար ես այնպես, ինչպես կաս:"
278,Self-Acceptance,"Whenever you are ready, Embrace your unique journey, there is no one else like you.","Երբ պատրաստ լինես՝ Ընդունիր քո յուրահատուկ ուղին, ոչ ոք քեզ նման չէ:"
279,Self-Acceptance,"Whenever you are ready, Your worth is not measured by your productivity.",Երբ պատրաստ լինես՝ Քո արժեքը չի չափվում քո արտադրողականությամբ:
280,Self-Acceptance,"Whenever you are ready, It is wonderful to just be yourself.",Երբ պատրաստ լինես՝ Հրաշալի է պարզապես լինել ինքդ քեզ պես:
281,Self-Acceptance,"Whenever you are ready, Forgive yourself for the mistakes; they help you grow.","Երբ պատրաստ լինես՝ Ներիր քեզ սխալների համար, դրանք օգնում են քեզ աճել:"
282,Self-Acceptance,"Whenever you are ready, Your imperfections make you beautifully human.",Երբ պատրաստ լինես՝ Քո թերությունները քեզ դարձնում են գեղեցիկ մարդկային:
283,Self-Acceptance,"Whenever you are ready, Celebrate the person you are becoming every single day.","Երբ պատրաստ լինես՝ Տոնիր այն մարդուն, ում վերածվում ես ամեն օր:"
284,Self-Acceptance,"Whenever you are ready, You are worthy of love, especially from yourself.","Երբ պատրաստ լինես՝ Դու արժանի ես սիրո, հատկապես ինքդ քո կողմից:"
285,Self-Acceptance,"Whenever you are ready, Let go of the need to be perfect.",Երբ պատրաստ լինես՝ Բաց թող կատարյալ լինելու կարիքը:
286,Self-Acceptance,"Whenever you are ready, You belong right here, exactly where you are.","Երբ պատրաստ լինես՝ Քո տեղը հենց այստեղ է, ճիշտ այնտեղ, որտեղ կաս:"
287,Self-Acceptance,"Whenever you are ready, You don't need to earn your worth; you are inherently valuable.","Երբ պատրաստ լինես՝ Քեզ պետք չէ վաստակել քո արժեքը, դու ի ծնե արժեքավոր ես:"
288,Self-Acceptance,"Whenever you are ready, Speak to yourself like someone you deeply love.","Երբ պատրաստ լինես՝ Խոսիր քեզ հետ այնպես, ինչպես կխոսեիր մեկի հետ, ում խորապես սիրում ես:"
289,Mental Health,"Whenever you are ready, Breathe in peace, breathe out any lingering stress.","Երբ պատրաստ լինես՝ Ներշնչիր խաղաղություն, արտաշնչիր կուտակված սթրեսը:"
290,Mental Health,"Whenever you are ready, It is completely okay to feel overwhelmed sometimes.",Երբ պատրաստ լինես՝ Լիովին նորմալ է երբեմն ծանրաբեռնված զգալը:
291,Mental Health,"Whenever you are ready, Be very gentle with your mind today.",Երբ պատրաստ լինես՝ Այսօր շատ մեղմ եղիր քո մտքերի հետ:
292,Mental Health,"Whenever you are ready, Your feelings are valid, whatever they may be.","Երբ պատրաստ լինես՝ Քո զգացմունքները կարևոր են, անկախ նրանից, թե ինչպիսին են դրանք:"
293,Mental Health,"Whenever you are ready, You don't have to have everything figured out right now.","Երբ պատրաստ լինես՝ Պարտադիր չէ, որ հիմա ամեն ինչ պարզած լինես:"
294,Mental Health,"Whenever you are ready, Protect your peace; it's okay to say no.","Երբ պատրաստ լինես՝ Պաշտպանիր քո խաղաղությունը, նորմալ է «ոչ» ասելը:"
295,Mental Health,"Whenever you are ready, Healing takes time, and you are doing your best.","Երբ պատրաստ լինես՝ Ապաքինումը ժամանակ է պահանջում, և դու անում ես առավելագույնը:"
296,Mental Health,"Whenever you are ready, Take things one day, or even one hour, at a time.","Երբ պատրաստ լինես՝ Ամեն ինչ արա օր առ օր, կամ նույնիսկ ժամ առ ժամ:"
297,Mental Health,"Whenever you are ready, You are safe right here in this moment.",Երբ պատրաստ լինես՝ Այս պահին դու ապահով ես հենց այստեղ:
298,Mental Health,"Whenever you are ready, Let your thoughts pass like clouds in the sky.",Երբ պատրաստ լինես՝ Թող մտքերդ անցնեն երկնքի ամպերի պես:
299,Mental Health,"Whenever you are ready, It takes courage to keep going, and I am proud of you.","Երբ պատրաստ լինես՝ Շարունակելու համար քաջություն է պետք, և ես հպարտանում եմ քեզանով:"
300,Mental Health,"Whenever you are ready, Release the tension you are carrying in your body.","Երբ պատրաստ լինես՝ Ազատիր այն լարվածությունը, որը կրում ես մարմնումդ:"
301,Motivation & Focus,"Please remember, You are capable of wonderful things.",Խնդրում եմ հիշել՝ Դու ունակ ես հրաշալի բաների:
302,Motivation & Focus,"Please remember, Take it one small step at a time.",Խնդրում եմ հիշել՝ Առաջ գնա փոքրիկ քայլերով:
303,Motivation & Focus,"Please remember, Focus on your progress, not perfection.","Խնդրում եմ հիշել՝ Կենտրոնացիր քո առաջընթացի, այլ ոչ թե կատարելության վրա:"
304,Motivation & Focus,"Please remember, You have the strength to overcome this challenge.",Խնդրում եմ հիշել՝ Դու ուժ ունես հաղթահարելու այս մարտահրավերը:
305,Motivation & Focus,"Please remember, Your efforts are building a beautiful future.",Խնդրում եմ հիշել՝ Քո ջանքերը կերտում են գեղեցիկ ապագա:
306,Motivation & Focus,"Please remember, Trust your pace. You are not falling behind.",Խնդրում եմ հիշել՝ Վստահիր քո տեմպին: Դու հետ չես մնում:
307,Motivation & Focus,"Please remember, Every tiny bit of effort counts.",Խնդրում եմ հիշել՝ Ամեն մի փոքրիկ ջանք հաշվի է առնվում:
308,Motivation & Focus,"Please remember, Give yourself credit for trying your best today.",Խնդրում եմ հիշել՝ Գնահատիր ինքդ քեզ այսօր լավագույնս փորձելու համար:
309,Motivation & Focus,"Please remember, It is okay to pause, as long as you don't give up.","Խնդրում եմ հիշել՝ Նորմալ է դադար առնել, քանի դեռ չես հանձնվում:"
310,Motivation & Focus,"Please remember, You bring a unique light to everything you do.","Խնդրում եմ հիշել՝ Դու յուրահատուկ լույս ես բերում այն ամենին, ինչ անում ես:"
311,Motivation & Focus,"Please remember, Your potential is endless.",Խնդրում եմ հիշել՝ Քո ներուժն անսահման է:
312,Motivation & Focus,"Please remember, Keep going, your future self will thank you.","Խնդրում եմ հիշել՝ Շարունակիր, քո ապագա եսը շնորհակալություն կհայտնի քեզ:"
313,Motivation & Focus,"Please remember, You are planting seeds for tomorrow's success.",Խնդրում եմ հիշել՝ Դու սերմեր ես ցանում վաղվա հաջողության համար:
314,Self-Care,"Please remember, Allow yourself a moment to rest and reset.",Խնդրում եմ հիշել՝ Թույլ տուր քեզ մի պահ հանգստանալ և վերականգնվել:
315,Self-Care,"Please remember, Drinking a little water right now could feel really refreshing.",Խնդրում եմ հիշել՝ Հիմա մի փոքր ջուր խմելը կարող է շատ թարմացնող լինել:
316,Self-Care,"Please remember, Stretch softly, listen to what your body needs.","Խնդրում եմ հիշել՝ Մեղմորեն ձգվիր, լսիր, թե ինչ է պետք քո մարմնին:"
317,Self-Care,"Please remember, Resting is just as productive as working.","Խնդրում եմ հիշել՝ Հանգստանալը նույնքան արդյունավետ է, որքան աշխատելը:"
318,Self-Care,"Please remember, Make sure you nourish your body with something tasty today.","Խնդրում եմ հիշել՝ Համոզվիր, որ այսօր սնուցում ես մարմինդ որևէ համեղ բանով:"
319,Self-Care,"Please remember, Stepping away from the screen for a minute can work wonders.",Խնդրում եմ հիշել՝ Էկրանից մեկ րոպեով կտրվելը կարող է հրաշքներ գործել:
320,Self-Care,"Please remember, Your well-being is your most important project.",Խնդրում եմ հիշել՝ Քո բարեկեցությունը քո ամենակարևոր նախագիծն է:
321,Self-Care,"Please remember, Let your shoulders drop and find a comfortable position.",Խնդրում եմ հիշել՝ Թուլացրու ուսերդ և գտիր հարմար դիրք:
322,Self-Care,"Please remember, Treat yourself with the same kindness you offer friends.","Խնդրում եմ հիշել՝ Վերաբերվիր քեզ նույն բարությամբ, որը տալիս ես ընկերներիդ:"
323,Self-Care,"Please remember, A warm cup of tea or coffee is waiting to comfort you.",Խնդրում եմ հիշել՝ Մի գավաթ տաք թեյը կամ սուրճը սպասում է քեզ հանգստացնելու:
324,Self-Care,"Please remember, Give your eyes a gentle break and look at something green.",Խնդրում եմ հիշել՝ Աչքերիդ մեղմ հանգիստ տուր և նայիր ինչ-որ կանաչ բանի:
325,Self-Care,"Please remember, Do one small thing that makes you smile right now.","Խնդրում եմ հիշել՝ Արա մի փոքրիկ բան, որն այս պահին կստիպի քեզ ժպտալ:"
326,Self-Care,"Please remember, Self-care isn't selfish, it's essential.","Խնդրում եմ հիշել՝ Ինքնախնամքը եսասիրություն չէ, այն անհրաժեշտություն է:"
327,Self-Acceptance,"Please remember, You are entirely enough, exactly as you are.","Խնդրում եմ հիշել՝ Դու լիովին բավարար ես այնպես, ինչպես կաս:"
328,Self-Acceptance,"Please remember, Embrace your unique journey, there is no one else like you.","Խնդրում եմ հիշել՝ Ընդունիր քո յուրահատուկ ուղին, ոչ ոք քեզ նման չէ:"
329,Self-Acceptance,"Please remember, Your worth is not measured by your productivity.",Խնդրում եմ հիշել՝ Քո արժեքը չի չափվում քո արտադրողականությամբ:
330,Self-Acceptance,"Please remember, It is wonderful to just be yourself.",Խնդրում եմ հիշել՝ Հրաշալի է պարզապես լինել ինքդ քեզ պես:
331,Self-Acceptance,"Please remember, Forgive yourself for the mistakes; they help you grow.","Խնդրում եմ հիշել՝ Ներիր քեզ սխալների համար, դրանք օգնում են քեզ աճել:"
332,Self-Acceptance,"Please remember, Your imperfections make you beautifully human.",Խնդրում եմ հիշել՝ Քո թերությունները քեզ դարձնում են գեղեցիկ մարդկային:
333,Self-Acceptance,"Please remember, Celebrate the person you are becoming every single day.","Խնդրում եմ հիշել՝ Տոնիր այն մարդուն, ում վերածվում ես ամեն օր:"
334,Self-Acceptance,"Please remember, You are worthy of love, especially from yourself.","Խնդրում եմ հիշել՝ Դու արժանի ես սիրո, հատկապես ինքդ քո կողմից:"
335,Self-Acceptance,"Please remember, Let go of the need to be perfect.",Խնդրում եմ հիշել՝ Բաց թող կատարյալ լինելու կարիքը:
336,Self-Acceptance,"Please remember, You belong right here, exactly where you are.","Խնդրում եմ հիշել՝ Քո տեղը հենց այստեղ է, ճիշտ այնտեղ, որտեղ կաս:"
337,Self-Acceptance,"Please remember, You don't need to earn your worth; you are inherently valuable.","Խնդրում եմ հիշել՝ Քեզ պետք չէ վաստակել քո արժեքը, դու ի ծնե արժեքավոր ես:"
338,Self-Acceptance,"Please remember, Speak to yourself like someone you deeply love.","Խնդրում եմ հիշել՝ Խոսիր քեզ հետ այնպես, ինչպես կխոսեիր մեկի հետ, ում խորապես սիրում ես:"
339,Mental Health,"Please remember, Breathe in peace, breathe out any lingering stress.","Խնդրում եմ հիշել՝ Ներշնչիր խաղաղություն, արտաշնչիր կուտակված սթրեսը:"
340,Mental Health,"Please remember, It is completely okay to feel overwhelmed sometimes.",Խնդրում եմ հիշել՝ Լիովին նորմալ է երբեմն ծանրաբեռնված զգալը:
341,Mental Health,"Please remember, Be very gentle with your mind today.",Խնդրում եմ հիշել՝ Այսօր շատ մեղմ եղիր քո մտքերի հետ:
342,Mental Health,"Please remember, Your feelings are valid, whatever they may be.","Խնդրում եմ հիշել՝ Քո զգացմունքները կարևոր են, անկախ նրանից, թե ինչպիսին են դրանք:"
343,Mental Health,"Please remember, You don't have to have everything figured out right now.","Խնդրում եմ հիշել՝ Պարտադիր չէ, որ հիմա ամեն ինչ պարզած լինես:"
344,Mental Health,"Please remember, Protect your peace; it's okay to say no.","Խնդրում եմ հիշել՝ Պաշտպանիր քո խաղաղությունը, նորմալ է «ոչ» ասելը:"
345,Mental Health,"Please remember, Healing takes time, and you are doing your best.","Խնդրում եմ հիշել՝ Ապաքինումը ժամանակ է պահանջում, և դու անում ես առավելագույնը:"
346,Mental Health,"Please remember, Take things one day, or even one hour, at a time.","Խնդրում եմ հիշել՝ Ամեն ինչ արա օր առ օր, կամ նույնիսկ ժամ առ ժամ:"
347,Mental Health,"Please remember, You are safe right here in this moment.",Խնդրում եմ հիշել՝ Այս պահին դու ապահով ես հենց այստեղ:
348,Mental Health,"Please remember, Let your thoughts pass like clouds in the sky.",Խնդրում եմ հիշել՝ Թող մտքերդ անցնեն երկնքի ամպերի պես:
349,Mental Health,"Please remember, It takes courage to keep going, and I am proud of you.","Խնդրում եմ հիշել՝ Շարունակելու համար քաջություն է պետք, և ես հպարտանում եմ քեզանով:"
350,Mental Health,"Please remember, Release the tension you are carrying in your body.","Խնդրում եմ հիշել՝ Ազատիր այն լարվածությունը, որը կրում ես մարմնումդ:"
351,Motivation & Focus,A little thought for today: You are capable of wonderful things.,Մի փոքրիկ միտք այսօրվա համար՝ Դու ունակ ես հրաշալի բաների:
352,Motivation & Focus,A little thought for today: Take it one small step at a time.,Մի փոքրիկ միտք այսօրվա համար՝ Առաջ գնա փոքրիկ քայլերով:
353,Motivation & Focus,"A little thought for today: Focus on your progress, not perfection.","Մի փոքրիկ միտք այսօրվա համար՝ Կենտրոնացիր քո առաջընթացի, այլ ոչ թե կատարելության վրա:"
354,Motivation & Focus,A little thought for today: You have the strength to overcome this challenge.,Մի փոքրիկ միտք այսօրվա համար՝ Դու ուժ ունես հաղթահարելու այս մարտահրավերը:
